MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366847780,2022-03-31T00:00:06,29.65443,-91.12341,0,360,511,PACIFIC DAWN,IMO7400467,WDA7844,31,0,32,8,3.6,31,A
367453020,2022-03-31T00:00:00,25.86906,-80.05932,5.5,356.7,511,DIRK C,IMO7509469,WDF4536,31,0,27,9,3.3,31,A
367665030,2022-03-31T00:00:01,32.64538,-117.19291,4.2,220.3,219,OCEAN GRAND,IMO9681821,WDH9141,70,1,170,25,9.5,70,A
367189030,2022-03-31T00:00:00,30.29043,-88.51271,0,360,322,MISSOURI H,,WRS7131,33,3,54,0,,33,A
367442770,2022-03-31T00:00:00,38.56362,-82.80687,0,360,511,GARRY LACEY,,WDF3677,31,0,21,8,,31,A
367561870,2022-03-31T00:00:02,30.0405,-90.83822,8.1,173.6,179,SAVAGE DESTINY,,WDG6904,31,12,25,,,57,A
209513000,2022-03-31T00:00:01,26.09387,-80.08081,28.3,272.6,511,OCEAN PEARL,IMO9060247,C4BQ2,70,0,169,27,9.8,49,A
368059470,2022-03-31T00:00:01,38.31697,-85.66319,0.1,242.5,511,JACOB TODD,,WDK4876,31,0,23,9,2.9,31,A
366837890,2022-03-31T00:00:02,29.738,-95.12638,0.5,360,511,CAPT CRAIG,,WDG7988,31,0,13,5,,31,A
367599550,2022-03-31T00:00:02,28.30034,-96.69324,6.6,52.3,48,MARY DUPRE,,WDH2629,31,0,20,7,,57,A
338225000,2022-03-31T00:00:02,26.12165,-94.8541,1.1,128.6,139,HARVEY ENERGY,IMO9654220,KHEK,90,0,92,19,6.1,39,A
538070338,2022-03-31T00:00:04,26.09699,-80.16318,0,21.9,90,KAUHALE KAI,,V7MC9,37,0,23,7,,37,A
367508430,2022-03-31T00:00:05,29.72639,-95.22745,0,183.6,511,GOVERNOR MIKE HUCKAB,,WDF9748,31,0,24,,,57,A
319129600,2022-03-31T00:00:06,27.20961,-95.80106,10.5,117.4,115,SCORPIO,IMO9389071,ZGHE8,80,0,244,42,13.7,80,A
368187930,2022-03-31T00:00:07,30.09388,-91.31013,0,265.9,511,ADRIENNE M MOORE,IMO101307049,WDM2420,57,0,207,23,2.8,57,A
366995460,2022-03-31T00:00:02,30.18729,-91.12978,5.3,218.6,215,ATLAS,IMO8842258,WDC2601,31,12,21,7,,57,A
367473490,2022-03-31T00:00:05,29.8742,-89.95232,0,256.3,309,ST THOMAS,,WDF6366,31,12,23,10,,57,A
367007480,2022-03-31T00:00:04,29.69896,-95.00159,7.1,113.5,511,BROWN WATER I,,WDC3411,31,0,16,6,,31,A
367600750,2022-03-31T00:00:09,29.74024,-95.1633,0,278.8,180,SAVAGE INNOVATOR,,WDH2744,31,0,22,,,52,A
367007110,2022-03-31T00:00:09,30.08516,-90.91109,0,360,511,CECILIA B SLATTEN,IMO8964757,WDC3386,31,3,29,11,4,31,A
636019582,2022-03-31T00:00:00,48.48579,-124.63298,9.3,291,289,MSC ARICA,IMO9619452,D5VE2,71,0,299,48,12.1,71,A
